ciclo;aluno;seq;rssi;snr;ack
35;1;34;-63;9.50;1
36;1;35;-64;9.75;1
37;1;36;-64;9.25;1
38;1;37;-63;9.75;1
39;1;38;-63;9.25;1
40;1;39;-64;9.75;1
41;1;40;-50;9.75;1
42;1;41;-49;10.00;1
43;1;42;-50;10.00;1
44;1;43;-49;9.50;1
45;1;44;-50;9.50;1
46;1;45;-49;10.25;1
47;1;46;-49;10.00;1
48;1;47;-49;10.00;1
49;1;48;-49;10.00;1
50;1;49;-49;9.50;1
51;1;50;-49;10.00;1
52;1;51;-49;9.75;1
53;1;52;-49;9.75;1
54;1;53;-49;9.50;1
55;1;54;-49;9.75;1
56;1;55;-49;9.75;1
57;1;56;-49;9.50;1
58;1;57;-49;9.75;1
59;1;58;-50;9.75;1
60;1;59;-50;9.75;1
61;1;60;-49;9.75;1
62;1;61;-49;9.50;1
63;1;62;-49;9.75;1
64;1;63;-50;10.00;1
65;1;64;-50;9.75;1
66;1;65;-50;10.00;1
67;1;66;-50;9.75;1
68;1;67;-49;10.00;1
69;1;68;-49;10.00;1
70;1;69;-49;10.00;1
71;1;70;-49;9.75;1
72;1;71;-49;9.75;1
73;1;72;-65;9.75;1
74;1;73;-59;9.75;1
